,Continent,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,html_link
0,Africa, French Algeria,"Centre interarmées d'essais d'engins spéciaux (CIEES), Hammaguir",31.09951; -2.83581,1947–1967,230  ,"18,000 kg",Orbital  ,Operated by France.[1],
0,Africa, Algeria,Reggane,26.71895; 0.27691,1961–1965,10  , , ,no notes found,
0,Africa, Zaire,"Shaba North, Kapani Tonneo OTRAG Launch Center",-7.92587; 28.52766,1975–1979,3  , ,<50 km  ,German OTRAG rockets.[2],"<a href=""https://en.wikipedia.org/wiki/OTRAG"">OTRAG text</a>"
0,Africa, Egypt,Jabal Hamzah ballistic missile test and launch facility,30.125750; 30.605139,1962–1973,6  , , ,Testing SRBMs Al Zafir and Al Kahir[3][4],"<a href=""https://en.wikipedia.org/wiki/SRBM"">SRBM text</a>"
0,Africa, Kenya,"Broglio Space Centre (San Marco), Malindi",-2.94080; 40.21340,1964–1988,27  ,"20,000 kg  ",Orbital  ,"Scout rockets, operated by ASI and Sapienza University of Rome, Italy.[5]","<a href=""https://en.wikipedia.org/wiki/Scout_(rocket_family)"">Scout_(rocket_family) text</a>"
0,Africa, Libya,"Sabha, Tawiwa OTRAG Launch Center",26.99392; 14.46425,1981–1987,2  , ,50  km,German OTRAG rockets after site in Zaire closed.[6],"<a href=""https://en.wikipedia.org/wiki/OTRAG"">OTRAG text</a>"
0,Africa, Mauritania,Nouadhibou,20.92856; -17.03153,1973–1973,1  , , ,During a solar eclipse,"<a href=""https://en.wikipedia.org/wiki/Solar_eclipse"">Solar_eclipse text</a>"
0,Africa, South Africa,Overberg South African Test Centre,-34.60265; 20.30248,"1986–1993, 2000s–", , , ,Launched test mission rockets only.[7],
0,Asia, China,"Base 603, Shijiedu, Guangde",30.93743; 119.20575,1960–1966,"1,000 kg",<60  km,,no notes found,
0,Asia, China,Jiuquan Satellite Launch Center,40.96056; 100.29833,1970–,"464,000 kg",Orbital  ,Human spaceflight[8],no notes found,
0,Asia, China,Taiyuan Satellite Launch Center,38.8490861; 111.6084972,1980–,"249,000 kg",Orbital  ,Polar satellites[9],no notes found,
0,Asia, China,Xichang Satellite Launch Center,28.24646; 102.02814,1984–,"459,000 kg",Lunar  ,"Geo-synchronous satellites, lunar probes.[10][11]",no notes found,
0,Asia, China,Wenchang Satellite Launch Center,19.6144917; 110.9511333,2016–,"879,000 kg",Interplanetary  ,New site on Hainan Island with pads for Long March 5 and Long March 7 rockets,no notes found,
0,Asia, China,Jingyu,42.0; 126.5,, , ,,no notes found,
0,Asia, India,"Vikram Sarabhai Space Centre (Thumba Equatorial), Thiruvananthapuram District, Kerala",8.5314; 76.8690,1962–, ,Orbital ,Primarily used as the launch site for Sounding rockets.[12],no notes found,
0,Asia, India,"Satish Dhawan Space Centre (Sriharikota Range), Tirupati District, Andhra Pradesh",13.73740; 80.23510,1971–,"690,000 kg",Interplanetary ,Polar and Geosynchronous Satellites; Lunar and Mars probes.[13],no notes found,
